"STATION","NAME","DATE","AWND","DAPR","EVAP","MDPR","MNPN","MXPN","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT06","WT07","WT08"
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-25","3.80",,,,,,,"0.78",,"0","49","53","46",,"  160","  170",,,,"12.1","14.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-26","6.04",,,,,,,"0.26",,"0","47","55","41",,"  270","  260",,,,"23.9","31.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-27","13.42",,,,,,,"0.20",,"0","44","49","41",,"  190","  170",,,,"32.0","42.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-28","7.61",,,,,,,"0.03","0.0","0","47","52","42",,"  280","  280",,,,"23.9","32.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-29","6.71",,,,,,,"0.06","0.0","0","47","53","37",,"  180","  170",,,,"17.0","21.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-11-30","7.38",,,,,,,"0.09","0.0","0","47","51","39",,"  190","  180",,,,"16.1","23.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-01","6.26",,,,,,,"0.02","0.0","0","43","47","39",,"  190","  190",,,,"13.0","15.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-02","9.62",,,,,,,"0.04","0.0","0","43","48","38",,"  170","  170",,,,"21.0","28.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-03","7.61",,,,,,,"0.01",,"0","47","52","43",,"  170","  170",,,,"15.0","19.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-04","7.16",,,,,,,"0.56",,"0","47","47","36",,"  190","  190",,,,"18.1","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-05","9.40",,,,,,,"0.28",,"0","38","41","35",,"  180","  190",,,,"21.0","27.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-06","4.92",,,,,,,"0.08","0.0","0","37","40","29",,"  350","  340",,,,"12.1","13.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-07","5.82",,,,,,,"0.00","0.0","0","33","39","29",,"   20","   20",,,,"13.0","16.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-08","5.82",,,,,,,"0.47",,"0","32","34","30",,"  340","   10",,,,"12.1","15.0","    1",,,"    1",,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-09","6.26",,,,,,,"0.52","0.0","0","36","49","33",,"  190","  180",,,,"18.1","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-10","8.50",,,,,,,"0.36",,,"44","50","33",,"  200","  190",,,,"21.9","28.0","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-11","11.18",,,,,,,"0.67",,,"44","49","42",,"  200","  180",,,,"21.0","29.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-12","5.14",,,,,,,"0.00",,"0","42","49","32",,"  170","  170",,,,"14.1","17.0","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-13","5.59",,,,,,,"0.00","0.0","0","37","39","33",,"   10","  360",,,,"14.1","17.0","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-14","9.40",,,,,,,"0.53",,,"33","35","28",,"  340","  360",,,,"17.0","19.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-15","4.70",,,,,,,"0.02",,"0","29","31","27",,"  340","  340",,,,"8.9","11.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-16","1.12",,,,,,,"0.00","0.0","0","27","35","16",,"  150","  150",,,,"6.9","6.9","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-17","2.91",,,,,,,"0.00","0.0","0","24","33","16",,"  150","  150",,,,"8.9","10.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-18","2.68",,,,,,,"0.00","0.0","0","30","32","25",,"  170","  170",,,,"10.1","12.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-19","15.43",,,,,,,"0.33",,"0","34","46","29",,"  180","  180",,,,"31.1","42.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-20","7.83",,,,,,,"0.43",,"0","47","52","32",,"  190","  200",,,,"30.0","38.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-21","2.01",,,,,,,"0.00","0.0","0","34","33","28",,"  360","  320",,,,"6.9","8.9","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-22","3.80",,,,,,,"0.07",,"0","32","41","30",,"  130","  130",,,,"14.1","16.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-23","6.93",,,,,,,"0.14",,"0","42","46","34",,"  180","  190",,,,"21.0","27.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-24","4.03",,,,,,,"0.00","0.0","0","37","44","29",,"  180","  200",,,,"8.9","11.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-25","2.91",,,,,,,"0.00","0.0","0","35","45","27",,"  170","  170",,,,"8.9","10.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-26","9.17",,,,,,,"0.31",,"0","31","41","24",,"  180","  180",,,,"29.1","36.9","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-27","11.41",,,,,,,"0.22","0.0","0","42","49","39",,"  180","  170",,,,"33.1","48.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-28","4.03",,,,,,,"0.00","0.0","0","39","41","30",,"   20","   20",,,,"10.1","12.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-29","3.80",,,,,,,"0.00","0.0","0","39","47","37",,"  320","  320",,,,"8.9","10.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-30","3.13",,,,,,,"0.07",,"0","41","46","30",,"   30","   30",,,,"16.1","19.9","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2016-12-31","8.50",,,,,,,"0.02",,"0","35","37","30",,"  180","  180",,,,"21.9","28.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-01","8.28",,,,,,,"0.34",,"0","36","42","33",,"  180","  190",,,,"18.1","21.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-02","5.82",,,,,,,"0.06",,"0","34","35","29",,"  360","  360",,,,"12.1","14.1","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-03","9.62",,,,,,,"0.00","0.0","0","31","38","26",,"   10","   20",,,,"17.0","21.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-04","12.75",,,,,,,"0.00",,"0","32","38","25",,"   10","   30",,,,"21.9","27.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-05","6.26",,,,,,,"0.00","0.0","0","28","37","17",,"   30","   40",,,,"23.0","29.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-06","1.79",,,,,,,"0.00","0.0","0","24","39","14",,"  350","  150",,,,"6.9","8.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-07","6.93",,,,,,,"0.27","3.0","0","27","29","23",,"  330","  330",,,,"13.0","14.1","    1",,,"    1",,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-08","5.82",,,,,,,"0.69",,"0","30","41","28",,"  150","  150",,,,"15.0","19.0","    1",,,"    1",,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-09","11.86",,,,,,,"0.95",,"0","38","43","36",,"  180","  180",,,,"25.9","35.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-10","8.50",,,,,,,"0.79",,"0","40","42","33",,"  180","  170",,,,"16.1","21.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-11","4.03",,,,,,,"0.06",,"0","34","35","31",,"  310","  310",,,,"12.1","14.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-12","7.16",,,,,,,"0.00","0.0","0","31","35","23",,"  350","   20",,,,"13.0","17.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-13","5.59",,,,,,,"0.00","0.0","0","26","31","20",,"  340","  360",,,,"8.9","12.1",,,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-14","5.59",,,,,,,"0.00","0.0","0","26","34","19",,"  360","   10",,,,"10.1","13.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-15","3.36",,,,,,,"0.00","0.0","0","26","36","18",,"  350","   10",,,,"8.9","11.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-16","2.24",,,,,,,"0.00","0.0","0","29","38","23",,"   70","  310",,,,"8.9","12.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-17","6.26",,,,,,,"0.90",,"0","32","51","26",,"  180","  190",,,,"23.9","32.0","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-18","16.33",,,,,,,"0.83",,"0","50","56","46",,"  190","  200",,,,"36.0","48.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-19","10.96",,,,,,,"0.03",,"0","48","52","38",,"  180","  190",,,,"21.9","30.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-20","3.36",,,,,,,"0.12",,"0","43","51","37",,"  140","  220",,,,"10.1","15.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-21","9.62",,,,,,,"0.23",,"0","44","49","36",,"  190","  180",,,,"25.9","34.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-22","8.05",,,,,,,"0.10",,"0","44","51","37",,"  200","  180",,,,"29.1","35.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-23","3.36",,,,,,,"0.00","0.0","0","41","53","30",,"   20","   10",,,,"15.0","18.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-24","2.91",,,,,,,"0.00","0.0","0","37","48","27",,"  140","  130",,,,"10.1","11.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-25","6.04",,,,,,,"0.00","0.0","0","42","47","38",,"  180","  190",,,,"14.1","17.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-26","2.91",,,,,,,"0.00","0.0","0","44","52","33",,"  180","  190",,,,"10.1","12.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-27","1.79",,,,,,,"0.00","0.0","0","36","45","28",,"  150","  150",,,,"8.1","10.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-28","2.01",,,,,,,"0.00","0.0","0","37","46","32",,"  290","  280",,,,"8.1","8.9","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-29","4.03",,,,,,,"0.00","0.0","0","38","48","35",,"  130","  130",,,,"12.1","13.0","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-30","3.80",,,,,,,"0.00","0.0","0","43","47","40",,"  350","  360",,,,"10.1","14.1","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-01-31","5.37",,,,,,,"0.03","0.0","0","44","48","33",,"   40","   60",,,,"13.0","15.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-01","9.62",,,,,,,"0.00","0.0","0","38","43","33",,"  350","  330",,,,"16.1","19.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-02","9.84",,,,,,,"0.02",,"0","39","48","33",,"  350","  360",,,,"17.0","21.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-03","7.16",,,,,,,"0.92",,"0","34","49","30",,"  180","  190",,,,"23.9","31.1","    1",,,"    1",,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-04","13.20",,,,,,,"1.53",,"0","47","52","47",,"  180","  190",,,,"21.9","30.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-05","5.82",,,,,,,"2.44","0.0","0","46","47","37",,"  190","  190",,,,"18.1","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-06","10.74",,,,,,,"0.41","0.0","0","38","43","36",,"  220","  220",,,,"23.9","32.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-07","5.14",,,,,,,"0.24",,"0","37","40","35",,"  330","  320",,,,"14.1","16.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-08","2.24",,,,,,,"1.28","0.0","0","40","57","39",,"  190","  200",,,,"18.1","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-09","15.88",,,,,,,"0.72","0.0","0","53","60","47",,"  180","  180",,,,"28.0","38.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-10","10.96",,,,,,,"0.19",,"0","48","50","36",,"  190","  190",,,,"23.9","35.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-11","2.68",,,,,,,"0.00","0.0","0","41","52","33",,"   20","   20",,,,"8.9","12.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-12","1.79",,,,,,,"0.00","0.0","0","38","50","29",,"   50","  310",,,,"8.9","12.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-13","2.01",,,,,,,"0.00","0.0","0","42","57","29",,"  360","  350",,,,"8.1","10.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-14","1.34",,,,,,,"0.03",,"0","40","52","29",,"  300","  340",,,,"6.9","11.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-15","6.26",,,,,,,"0.99","0.0","0","47","57","45",,"  180","  180",,,,"23.9","33.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-16","10.29",,,,,,,"1.58","0.0","0","53","56","46",,"  190","  190",,,,"25.1","31.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-17","6.93",,,,,,,"0.00",,"0","47","56","39",,"  360","   20",,,,"16.1","19.0","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-18","6.49",,,,,,,"0.19",,"0","49","55","43",,"  230","  220",,,,"17.0","23.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-19","10.51",,,,,,,"0.59",,"0","45","51","39",,"  200","  200",,,,"25.1","35.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-20","6.04",,,,,,,"0.89",,"0","46","52","43",,"  200","  180",,,,"18.1","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-21","6.71",,,,,,,"0.78",,"0","46","46","36",,"  190","  180",,,,"18.1","21.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-22","2.24",,,,,,,"0.16",,"0","40","45","34",,"   10","   10",,,,"13.0","16.1","    1","    1",,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-23","3.80",,,,,,,"0.00",,"0","37","45","30",,"  260","  290",,,,"13.0","17.0","    1","    1",,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-24","8.28",,,,,,,"0.03",,"0","37","41","32",,"  180","  190",,,,"18.1","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-25","2.91",,,,,,,"0.00",,"0","38","48","29",,"  170","  170",,,,"10.1","13.0","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-26","11.86",,,,,,,"0.23",,"0","40","44","36",,"  210","  200",,,,"25.1","31.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-27","9.62",,,,,,,"0.07",,"0","38","45","35",,"  210","  200",,,,"16.1","21.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-02-28","8.28",,,,,,,"0.12",,"0","41","50","37",,"  180","  190",,,,"16.1","19.9",,,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-01","8.05",,,,,,,"0.00",,"0","45","52","37",,"  180","  190",,,,"17.0","21.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-02","9.17",,,,,,,"0.03",,"0","43","50","34",,"  180","  180",,,,"17.0","21.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-03","14.32",,,,,,,"0.47",,"0","47","51","41",,"  180","  170",,,,"25.9","33.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-04","8.50",,,,,,,"0.19",,"0","43","47","36",,"  190","  190",,,,"19.9","27.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-05","14.99",,,,,,,"0.24",,"0","39","44","34",,"  180","  180",,,,"29.1","38.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-06","12.08",,,,,,,"0.60",,,"37","45","33",,"  190","  200",,,,"19.9","27.1","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-07","14.54",,,,,,,"0.74",,,"42","49","41",,"  190","  170",,,,"30.0","40.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-08","4.92",,,,,,,"0.19",,"0","48","51","44",,"  180","  180",,,,"13.0","15.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-09","11.86",,,,,,,"0.33","0.0","0","52","58","51",,"  180","  200",,,,"25.1","36.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-10","8.28",,,,,,,"0.00",,"0","56","62","45",,"  200","  200",,,,"23.0","30.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-11","7.61",,,,,,,"0.21",,"0","49","58","40",,"  230","  240",,,,"21.9","31.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-12","5.59",,,,,,,"0.00","0.0","0","53","64","45",,"  180","  160",,,,"14.1","17.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-13","7.61",,,,,,,"0.15","0.0","0","54","58","51",,"  170","  200",,,,"17.0","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-14","8.95",,,,,,,"0.85","0.0","0","57","59","53",,"  170","  190",,,,"18.1","25.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-15","10.51",,,,,,,"0.84",,"0","54","56","45",,"  180","  170",,,,"23.9","32.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-16","2.46",,,,,,,"0.00","0.0","0","46","56","35",,"  150","  150",,,,"12.1","15.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-17","4.25",,,,,,,"0.17",,"0","44","56","36",,"  310","  160",,,,"13.0","14.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-18","10.74",,,,,,,"0.41",,"0","52","58","39",,"  190","  190",,,,"28.0","35.1","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-19","8.05",,,,,,,"0.00","0.0","0","43","57","32",,"  360","   20",,,,"16.1","19.9",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-20","4.92",,,,,,,"0.22",,"0","47","51","40",,"  290","  290",,,,"12.1","13.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-21","6.49",,,,,,,"0.12",,"0","49","64","45",,"  180","  180",,,,"18.1","23.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-22","10.96",,,,,,,"0.01",,"0","51","55","39",,"  200","  190",,,,"23.9","33.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-23","7.16",,,,,,,"0.33",,"0","46","57","35",,"  190","  180",,,,"19.9","23.9","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-24","9.62",,,,,,,"0.69",,"0","49","55","43",,"  190","  180",,,,"23.9","30.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-25","6.93",,,,,,,"0.02",,"0","48","54","43",,"  260","  260",,,,"21.9","25.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-26","9.17",,,,,,,"0.49",,"0","47","53","43",,"  180","  190",,,,"19.9","25.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-27","9.62",,,,,,,"0.11",,"0","49","56","44",,"  230","  210",,,,"21.0","25.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-28","12.08",,,,,,,"0.05",,"0","50","61","46",,"  170","  170",,,,"23.9","30.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-29","13.42",,,,,,,"0.21",,"0","52","56","46",,"  180","  180",,,,"28.0","38.9","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-30","8.50",,,,,,,"0.02",,"0","49","57","38",,"  290","  290",,,,"21.0","25.9",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-03-31","3.80",,,,,,,"0.00",,,"46","58","34",,"  330","  320",,,,"12.1","14.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-01","5.37",,,,,,,"0.00",,,"51","61","43",,"  200","  210",,,,"15.0","19.0","    1",,,,,"    1"
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-02","6.49",,,,,,,"0.00",,,"50","59","39",,"  320","  320",,,,"19.9","23.9",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-03","2.68",,,,,,,"0.00","0.0","0","44","57","31",,"  340","  360",,,,"10.1","14.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-04","3.58",,,,,,,"0.00","0.0","0","49","59","41",,"  200","  190",,,,"16.1","19.0",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-05","4.70",,,,,,,"0.00","0.0","0","54","61","46",,"  350","  230",,,,"12.1","14.1",,,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-06","4.92",,,,,,,"0.22","0.0","0","53","66","47",,"   30","   20",,,,"16.1","21.0","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-07","19.24",,,,,,,"0.16",,"0","54","56","42",,"  180","  180",,,,"42.9","59.9","    1",,,,,
"USW00024232","SALEM MCNARY FIELD, OR US","2017-04-08","9.40",,,,,,,"0.25",,"0","45","53","39",,"  280","  270",,,,"23.0","28.0","    1",,,,,"    1"
